"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"RNF25","RNF25",0.4714165802,2.159201141,3,21,"(0.4,0.5]","FUNCTION: E3 ubiquitin-protein ligase that plays a key role in the RNF14-RNF25 translation quality control pathway, a pathway that takes place when a ribosome has stalled during translation, and which promotes ubiquitination and degradation of translation factors on stalled ribosomes (PubMed:36638793, PubMed:37651229, PubMed:37951216). Catalyzes ubiquitination of RPS27A in response to ribosome collisions, promoting activation of RNF14 (PubMed:36638793). RNF25 catalyzes ubiquitination of other ribosomal proteins on stalled ribosomes, such as RPL0, RPL1, RPL12, RPS13 and RPS17 (PubMed:36638793). Also involved in ubiquitination and degradation of stalled ETF1/eRF1 (PubMed:36638793, PubMed:37651229). Independently of its function in the response to stalled ribosomes, mediates ubiquitination and subsequent proteasomal degradation of NKD2 (By similarity). May also stimulate transcription mediated by NF-kappa-B via its interaction with RELA/p65 (PubMed:12748188). {ECO:0000250|UniProtKB:Q9QZR0, ECO:0000269|PubMed:12748188, ECO:0000269|PubMed:36638793, ECO:0000269|PubMed:37651229, ECO:0000269|PubMed:37951216}.","E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING finger protein AO7)"
"ROMO1","ROMO1",-1.118590842,2.772175232,3,233,"(-1.2,-1.1]","FUNCTION: Induces production of reactive oxygen species (ROS) which are necessary for cell proliferation. May play a role in inducing oxidative DNA damage and replicative senescence. May play a role in the coordination of mitochondrial morphology and cell proliferation.; FUNCTION: Has antibacterial activity against a variety of bacteria including S.aureus, P.aeruginosa and M.tuberculosis. Acts by inducing bacterial membrane breakage.","Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog)"
"RPF1","RPF1",0.2861927462,2.271523496,3,51,"(0.2,0.3]","FUNCTION: May be required for ribosome biogenesis. {ECO:0000269|PubMed:11864606}.","Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)"
"RPL10A","RPL10A",-0.3765842352,1.79360196,3,110,"(-0.4,-0.3]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)"
"RPL11","RPL11",-0.5240035007,1.785995802,3,173,"(-0.6,-0.5]","FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:19191325, PubMed:32669547). The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules (PubMed:19191325, PubMed:32669547). The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain (PubMed:19191325, PubMed:32669547). The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:19191325, PubMed:32669547). As part of the 5S RNP/5S ribonucleoprotein particle it is an essential component of the LSU, required for its formation and the maturation of rRNAs (PubMed:12962325, PubMed:19061985, PubMed:24120868). It also couples ribosome biogenesis to p53/TP53 activation. As part of the 5S RNP it accumulates in the nucleoplasm and inhibits MDM2, when ribosome biogenesis is perturbed, mediating the stabilization and the activation of TP53 (PubMed:24120868). Promotes nucleolar location of PML (By similarity). {ECO:0000250|UniProtKB:Q9CXW4, ECO:0000269|PubMed:12962325, ECO:0000269|PubMed:19061985, ECO:0000269|PubMed:19191325, ECO:0000269|PubMed:24120868, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein uL5 (60S ribosomal protein L11) (CLL-associated antigen KW-12)"
"RPL12","RPL12",-0.5889830788,2.162089073,3,184,"(-0.6,-0.5]","FUNCTION: Component of the large ribosomal subunit (PubMed:25901680). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:25901680). Binds directly to 26S ribosomal RNA (PubMed:25901680). {ECO:0000269|PubMed:25901680}.","Large ribosomal subunit protein uL11 (60S ribosomal protein L12)"
"RPL13","RPL13",-0.3641196456,1.941678584,3,101,"(-0.4,-0.3]","FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:31630789, PubMed:32669547). The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules (Probable). The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain (Probable). The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (Probable). As part of the LSU, it is probably required for its formation and the maturation of rRNAs (PubMed:31630789). Plays a role in bone development (PubMed:31630789). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:31630789, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1)"
"RPL14","RPL14",-0.4042594035,1.494801521,4,121,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL14 (60S ribosomal protein L14) (CAG-ISL 7)"
"RPL15","RPL15",-0.5177452697,1.851418854,3,169,"(-0.6,-0.5]","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL15 (60S ribosomal protein L15)"
"RPL17;RPL17-C18orf32","RPL17",-0.4028297414,2.067557133,3,120,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1)"
"RPL18A","RPL18A",-0.3908894062,2.198024162,3,117,"(-0.4,-0.3]","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)"
"RPL19","RPL19",-0.5045909882,2.425505833,4,165,"(-0.6,-0.5]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL19 (60S ribosomal protein L19)"
"RPL21","RPL21",-0.3280842039,1.979950727,3,87,"(-0.4,-0.3]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL21 (60S ribosomal protein L21)"
"RPL23A","RPL23A",-0.4074605935,2.124463022,4,123,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). Binds a specific region on the 26S rRNA (PubMed:23636399, PubMed:32669547). May promote p53/TP53 degradation possibly through the stimulation of MDM2-mediated TP53 polyubiquitination (PubMed:26203195). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:26203195, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)"
"RPL24","RPL24",-0.3181664977,1.72166037,3,81,"(-0.4,-0.3]","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30)"
"RPL26","RPL26",-0.974503506,2.062619338,3,224,"(-1,-0.9]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:26100019, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:26100019, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:26100019}.","Large ribosomal subunit protein uL24 (60S ribosomal protein L26)"
"RPL27","RPL27",-0.4912084639,2.001930704,3,161,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688, PubMed:32669547). Required for proper rRNA processing and maturation of 28S and 5.8S rRNAs (PubMed:25424902). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25424902, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL27 (60S ribosomal protein L27)"
"RPL28","RPL28",-0.7450235325,2.354438153,4,211,"(-0.8,-0.7]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL28 (60S ribosomal protein L28)"
"RPL29","RPL29",-0.9417564074,2.215627791,3,221,"(-1,-0.9]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP)"
"RPL3","RPL3",-0.7579344312,2.869909543,3,212,"(-0.8,-0.7]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547, PubMed:35674491). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)"
"RPL30","RPL30",-0.6188427673,2.658559078,4,193,"(-0.7,-0.6]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL30 (60S ribosomal protein L30)"
"RPL31","RPL31",-0.4763611356,1.998457519,4,157,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL31 (60S ribosomal protein L31)"
"RPL32","RPL32",-0.4687300622,2.092627554,3,153,"(-0.5,-0.4]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL32 (60S ribosomal protein L32)"
"RPL34","RPL34",-0.7180087393,2.147810408,3,205,"(-0.8,-0.7]","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","Large ribosomal subunit protein eL34 (60S ribosomal protein L34)"
"RPL35A","RPL35A",-0.348947727,1.19106137,3,95,"(-0.4,-0.3]","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). Required for the proliferation and viability of hematopoietic cells (PubMed:18535205). {ECO:0000269|PubMed:18535205, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","Large ribosomal subunit protein eL33 (60S ribosomal protein L35a) (Cell growth-inhibiting gene 33 protein)"
